ayear,level,place,full_place,agg_place
2122,emu,TaylorLounge,Taylor Lounge,Taylor Lounge
2122,emu,Hallway1,Hallway 1,Hallway
2122,emu,Starbucks,Starbucks,Food & Drink
2122,emu,Fishbowl,Fishbowl,Fishbowl
2122,emu,Chipotle,Chipotle,Food & Drink
2122,emu,Panda,Panda Express,Food & Drink
2122,emu,Subway,Subway,Food & Drink
2122,emu,ZeroWaste,Zero Waste,Zero Waste
2122,emu,Owyhee,Owyhee,Owyhee
2122,emu,Metolious,Metolious,Metolious
2122,emu,CraterLakeNorth,Crater Lake North,Crater Lake North
2122,emu,CraterLakeSouth,Crater Lake South,Crater Lake South
2122,emu,Umpqua,Umpqua,Umpqua
2122,emu,Rogue,Rogue,Rogue
2122,emu,Courtyard,Courtyard,Courtyard
2122,emu,LittleBigBurger,Little Big Burger,Food & Drink
2122,emu,OtherL1a,Other Level 1,Other
2122,emu,Other1b,Other Level 1,Other
2122,emu,Other1c,Other Level 1,Other
2122,emu,Green,Green,Green
2122,emu,Other1d,Other Level 1,Other
2122,emu,Other1e,Other Level 1,Other
2122,emu,Stairs1,Stairs,Stairs
2122,emu,Other1f,Other Level 1,Other
2122,emu,Patio,Patio,Patio
2122,emu,BikeParking,Bike Parking,Bike Parking
2122,emu,Veterans,Veterans Center,Veterans Center
2122,emu,LGBTQA3,LGBTQA3,LGBTQA3
2122,emu,Mallard,Mallard,Mallard
2122,emu,OP,Outdoor & Bike Program,Outdoor & Bike Program
2122,emu,Womens,Women's Center,Women's Center
2122,emu,AllGenderWC,All Gender WC,All Gender WC
2122,emu,Thunder,Thunder,Thunder
2122,emu,Lightning,Lightning,Lightning
2122,emu,ClubSports,Club Sports,Club Sports
2122,emu,ROAR,ROAR,ROAR
2122,emu,SSC,Student Sustainability Center,Student Sustainability Center
2122,emu,ASUO,ASUO Student Governance Center,ASUO Student Governance Center
2122,emu,Ticket,Ticket Office,Ticket Office
2122,emu,ID,ID Card Services,ID Card Services
2122,emu,StairsG,Stairs,Stairs
2122,emu,JambaJuice,Jamba Juice,Food & Drink
2122,emu,ACESushi,ACE Sushi,Food & Drink
2122,emu,FreshMarket,Fresh Market,Food & Drink
2122,emu,Holden,Holden Center,Holden Center
2122,emu,PizzeriaKitchen,Pizzeria Kitchen,Pizzeria Kitchen
2122,emu,Bartolottis,Bartolotti's Pizza Bistro,Food & Drink
2122,emu,KWVA,KWVA Radio,KWVA Radio
2122,emu,FSL,Fraternity and Sorority Life,Fraternity and Sorority Life
2122,emu,Esports,Esports,Esports
2122,emu,ComputerLab,Computer Lab,Computer Lab
2122,emu,DuckNest,Duck Nest,Duck Nest
2122,emu,CampusCopy,Campus Copy,Campus Copy
2122,emu,CraftOutdoor,Craft Center - Outdoor,Craft Center - Outdoor
2122,emu,Craft,Craft Center,Craft Center
2122,emu,OLounge,O Lounge,O Lounge
2122,emu,AtriumSouth,Atrium South,Atrium South
2122,emu,AtriumEast,Atrium East,Atrium East
2122,emu,OtherGa,Other Ground Level,Other
2122,emu,OtherGb,Other Ground Level,Other
2122,emu,OtherGc,Other Ground Level,Other
2122,emu,OtherGd,Other Ground Level,Other
2122,emu,OtherGf,Other Ground Level,Other
2122,emu,OtherGg,Other Ground Level,Other
2122,emu,OtherGe,Other Ground Level,Other
2122,emu,FishbowlTerrace,Fishbowl Terrace,Fishbowl Terrace
2122,emu,OB1,Out of Bounds 1,Out of Bounds
2122,emu,OB2,Out of Bounds 2,Out of Bounds
2122,emu,Other,Other,Other
