id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,MCC,Mills,Redwood,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,DuckStore,Fishbowl,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,DuckStore,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,Fishbowl,O,Other2,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,Computer,FallingSky,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,BallroomLobby,Chipotle,DuckStore,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,CSI.RC,FallingSky,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,FallingSky,Fishbowl,Townshend,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,ClubSports,OP,SouthAtrium,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Craft,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,EastAtrium,Fishbowl,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,567,NA,NA,1617,1718,us ug,Belong,Some Place,ASUO.SGES,MCC,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,573,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
